Date,Open,High,Low,Close,Volume
2-Apr-14,65.60,67.00,65.00,65.30,675402
1-Apr-14,69.30,69.40,65.00,65.00,1191490
31-Mar-14,71.40,71.50,70.00,70.10,859250
28-Mar-14,72.70,74.10,71.60,72.30,807104
27-Mar-14,74.60,76.60,73.20,73.50,1076642
26-Mar-14,72.00,75.00,71.50,74.90,873639
25-Mar-14,72.70,75.30,72.30,73.10,841284
24-Mar-14,73.50,77.79,72.70,74.50,1136651
21-Mar-14,71.30,74.90,71.00,74.10,953917
20-Mar-14,74.70,75.70,72.20,72.90,790697
19-Mar-14,71.30,78.30,70.50,73.70,1384834
18-Mar-14,73.50,74.50,71.20,71.30,1053402
17-Mar-14,79.70,79.70,76.00,77.00,1086896
14-Mar-14,83.50,86.80,80.20,83.90,1707000
13-Mar-14,72.60,82.09,72.20,80.20,1635518
12-Mar-14,77.40,78.40,74.00,74.20,945054
11-Mar-14,72.70,75.20,71.00,74.20,929339
10-Mar-14,74.50,77.00,72.20,72.70,894119
7-Mar-14,69.60,74.30,69.50,73.10,1131930
6-Mar-14,70.80,72.10,69.70,70.60,770356
5-Mar-14,71.60,73.00,70.50,71.00,564239
4-Mar-14,72.70,73.30,71.20,71.80,1101429
3-Mar-14,82.00,84.80,78.10,81.60,1863876
28-Feb-14,71.60,76.00,69.30,73.60,1140466
27-Feb-14,73.70,74.70,71.00,71.30,727267
26-Feb-14,69.60,73.80,69.20,71.50,949542
25-Feb-14,69.70,72.90,68.90,70.10,949604
24-Feb-14,70.10,70.82,68.20,70.30,788269
21-Feb-14,68.10,71.70,67.50,70.70,950500
20-Feb-14,73.43,75.70,69.10,69.60,1336639
19-Feb-14,68.20,75.40,66.90,74.30,1293404
18-Feb-14,67.20,69.90,66.20,66.60,597645
14-Feb-14,69.90,70.50,66.80,67.75,831606
13-Feb-14,74.80,75.70,70.10,70.30,1212757
12-Feb-14,71.80,75.10,70.80,71.10,1080068
11-Feb-14,77.30,78.10,72.50,74.00,1134887
10-Feb-14,78.90,80.80,76.50,79.20,644992
7-Feb-14,86.20,87.10,76.50,79.30,1711134
6-Feb-14,109.90,109.90,90.70,90.80,1279553
5-Feb-14,109.20,118.00,107.20,112.30,2160762
4-Feb-14,105.50,109.30,101.70,104.60,1659207
3-Feb-14,97.90,111.40,95.20,109.10,2082902
31-Jan-14,98.20,98.30,88.60,95.90,1776093
30-Jan-14,79.70,84.10,77.60,82.10,923803
29-Jan-14,82.60,87.20,77.90,84.80,1437738
28-Jan-14,82.10,82.70,73.90,75.30,949003
27-Jan-14,79.40,92.60,76.30,81.70,1794590
24-Jan-14,72.20,82.40,71.80,80.30,1459436
23-Jan-14,66.40,71.10,66.30,68.60,646583
22-Jan-14,66.00,66.30,64.50,65.10,346763
21-Jan-14,67.10,69.20,66.80,66.90,389465
17-Jan-14,69.00,69.20,66.70,68.30,290157
16-Jan-14,68.30,69.70,67.72,68.40,320288
15-Jan-14,67.00,69.20,66.50,67.60,314842
14-Jan-14,71.50,71.60,67.00,67.00,539071
13-Jan-14,69.30,74.70,67.00,73.10,782696
10-Jan-14,71.00,72.39,68.20,68.20,426138
9-Jan-14,70.70,72.60,70.70,71.60,258554
8-Jan-14,71.50,72.37,70.70,71.60,270279
7-Jan-14,72.90,73.20,71.00,71.00,289582
6-Jan-14,73.80,75.60,72.50,74.30,439060
3-Jan-14,75.50,77.40,74.10,75.80,333322
2-Jan-14,76.60,78.30,76.00,76.80,552458
31-Dec-13,73.70,76.80,73.00,75.00,275910
30-Dec-13,73.80,75.60,72.81,74.60,191995
27-Dec-13,70.80,73.90,70.60,72.80,224740
26-Dec-13,71.10,71.50,70.10,70.90,249288
24-Dec-13,75.00,75.10,73.50,73.50,222046
23-Dec-13,80.00,80.70,76.28,76.70,277938
20-Dec-13,80.20,82.10,79.20,81.80,255480
19-Dec-13,81.50,82.10,80.00,81.20,247235
18-Dec-13,90.80,93.40,80.00,80.20,766751
17-Dec-13,95.50,97.20,90.90,92.30,463012
16-Dec-13,90.74,94.50,90.20,92.80,289084
13-Dec-13,92.90,94.20,91.20,92.80,217161
12-Dec-13,91.50,95.90,89.80,92.60,454669
11-Dec-13,84.30,92.50,84.10,91.90,453501
10-Dec-13,85.00,85.70,83.80,84.80,190838
9-Dec-13,84.30,85.50,83.30,84.00,158872
6-Dec-13,87.90,88.40,84.40,85.10,345865
5-Dec-13,89.70,93.20,89.20,91.30,368630
4-Dec-13,95.70,97.70,90.10,90.60,424289
3-Dec-13,91.00,96.50,89.70,91.80,479612
2-Dec-13,86.60,89.70,86.10,88.30,203426
29-Nov-13,84.20,87.20,83.80,87.00,75554
27-Nov-13,83.84,85.40,83.70,84.70,111637
26-Nov-13,84.40,85.70,82.40,84.70,244099
25-Nov-13,81.70,84.80,81.60,84.00,147067
22-Nov-13,85.40,86.20,83.10,83.20,271287
21-Nov-13,90.50,90.70,85.20,86.00,415448
20-Nov-13,96.90,97.30,89.50,92.40,601591
19-Nov-13,93.00,97.50,91.80,95.50,338738
18-Nov-13,91.30,94.80,89.50,93.80,358496
15-Nov-13,95.00,95.70,93.60,93.90,180764
14-Nov-13,98.40,98.90,95.90,96.10,210181
13-Nov-13,101.50,101.80,98.00,98.20,287098
12-Nov-13,100.40,101.20,98.20,99.00,301387
11-Nov-13,100.60,101.80,99.60,99.70,173117
8-Nov-13,106.60,107.06,100.30,100.40,369105
7-Nov-13,101.00,109.30,100.90,108.80,488048
6-Nov-13,103.00,106.20,101.80,102.00,289914
5-Nov-13,107.60,108.50,104.90,105.40,240992
4-Nov-13,110.10,111.41,106.10,106.20,342461
1-Nov-13,111.20,114.50,110.00,111.70,349623
31-Oct-13,114.10,115.31,110.00,112.90,529188
30-Oct-13,111.90,117.30,111.50,113.60,570034
29-Oct-13,112.20,114.30,111.15,111.70,336787
28-Oct-13,112.30,114.70,111.90,113.00,239531
25-Oct-13,111.90,115.00,111.40,111.70,277782
24-Oct-13,113.80,115.80,111.08,112.20,363488
23-Oct-13,117.30,121.69,115.00,115.00,515500
22-Oct-13,109.40,115.66,108.80,113.60,573988
21-Oct-13,107.90,115.76,107.70,113.10,437963
18-Oct-13,111.80,116.30,108.20,113.00,378326
17-Oct-13,132.20,132.70,115.40,115.75,571318
16-Oct-13,149.10,153.10,129.90,130.00,869316
15-Oct-13,148.70,165.00,143.10,162.60,978313
14-Oct-13,155.00,159.60,142.40,145.80,826207
11-Oct-13,150.40,151.28,139.50,143.10,351654
10-Oct-13,170.00,170.20,149.30,149.80,557633
9-Oct-13,197.80,208.20,178.81,184.90,966958
8-Oct-13,181.40,202.19,180.00,197.70,977515
7-Oct-13,171.60,181.50,167.80,180.90,574164
4-Oct-13,165.20,169.20,157.50,158.70,404887
3-Oct-13,152.60,174.60,151.40,161.80,759008
2-Oct-13,147.90,153.10,144.93,150.70,331097
1-Oct-13,152.90,153.50,142.50,142.90,433890
30-Sep-13,155.20,156.20,145.80,152.10,742778
27-Sep-13,137.70,145.10,136.80,142.50,489023
26-Sep-13,134.60,137.70,133.00,133.20,313493
25-Sep-13,138.50,141.70,135.50,138.00,457012
24-Sep-13,138.90,142.00,134.72,138.60,378406
23-Sep-13,136.30,144.80,135.60,139.80,398518
20-Sep-13,133.60,137.50,130.90,136.70,605972
19-Sep-13,131.70,135.60,130.60,133.00,433736
18-Sep-13,146.70,150.70,132.50,134.80,861680
17-Sep-13,147.80,147.80,144.40,145.10,317523
16-Sep-13,144.50,150.80,143.90,148.80,418718
13-Sep-13,149.60,155.90,148.30,150.90,282653
12-Sep-13,149.50,155.30,146.00,154.90,303856
11-Sep-13,161.80,163.10,149.40,149.40,460230
10-Sep-13,163.70,165.00,160.00,160.00,355028
9-Sep-13,183.10,184.90,172.32,172.70,364689
6-Sep-13,179.30,195.80,177.63,186.10,355094
5-Sep-13,191.10,192.50,183.20,183.70,227787
4-Sep-13,192.60,195.10,189.37,191.70,301796
3-Sep-13,189.30,200.30,187.60,191.60,448837
30-Aug-13,199.80,214.70,199.56,206.70,367288
29-Aug-13,19.90,20.30,19.10,20.10,1135138
28-Aug-13,19.90,20.40,19.00,19.50,1340821
27-Aug-13,18.60,19.76,18.00,19.60,2395524
26-Aug-13,15.90,17.10,15.60,17.10,882689
23-Aug-13,16.40,16.80,16.10,16.20,551861
22-Aug-13,17.10,17.20,16.60,16.80,614505
21-Aug-13,17.40,18.30,16.30,17.50,1971472
20-Aug-13,17.60,17.70,16.20,16.80,1042900
19-Aug-13,16.70,17.50,16.50,17.20,844009
16-Aug-13,17.00,17.10,16.00,16.50,887845
15-Aug-13,16.50,17.10,16.40,16.90,1533227
14-Aug-13,15.10,15.60,15.00,15.60,595225
13-Aug-13,15.30,16.00,14.90,15.15,689329
12-Aug-13,16.30,16.40,15.40,15.40,634023
